,ix,skypos,band,theCount,t0,t1,globalcount,stimcount,exptime,deadtime
1243,3373,124.810157289_64.9376634757,FUV,19723,758205442.995,758205704.995,654160.0,19723.0,214.99699986,0.014267393675
1244,3225,212.372325747_55.392074603,FUV,127133,891600990.995,891602671.995,2774121.0,127133.0,1681.0,0.00943017251636
1245,3157,270.590545469_83.9582531271,FUV,7985,846601847.995,846601954.995,440901.0,7985.0,107.0,0.0235461148198
1246,3235,133.310049759_77.9745998107,FUV,8364,847247274.995,847247385.995,271172.0,8364.0,110.0,0.0139599485199
1247,3383,118.704628528_60.1126106284,FUV,8369,851016607.995,851016718.995,262151.0,8369.0,110.0,0.0134955469755
1248,3393,217.876642244_81.5851412147,FUV,8417,815953941.995,815954053.995,293569.0,8417.0,111.0,0.0149780102041
1249,3167,115.403275438_63.7731786428,FUV,8139,851015608.995,851015717.995,384795.0,8139.0,100.88499999,0.0201727391874
1250,3245,94.319893699_61.0302364576,FUV,7795,855288178.995,855288282.995,356512.0,7795.0,103.0,0.0195885714286
1251,3403,335.952841747_83.7562316056,FUV,7744,820060346.995,820060449.995,325168.0,7744.0,98.9989999533,0.0180398335645
1252,3249,67.8486238799_85.6470408493,FUV,127175,912608404.995,912610098.995,5222571.0,127175.0,1366.76000023,0.0176170382864
1253,3362,275.401853387_81.6748688317,FUV,8177,846626218.995,846626327.995,336055.0,8177.0,109.0,0.0176175622543
1254,3259,111.328698477_65.9076227526,FUV,8338,850928152.995,850928263.995,351312.0,8338.0,111.0,0.0180855598456
1255,3198,303.657885383_74.811396911,FUV,8587,815634879.995,815634994.995,466692.0,8587.0,114.0,0.0231896645963
1256,3290,109.028989698_74.3036280782,FUV,8094,847282483.995,847282592.995,453052.0,8094.0,101.995000005,0.0237510878113
1257,3372,175.520580294_86.4970287486,FUV,7988,851075626.995,851075732.995,263794.0,7988.0,90.9950000048,0.0142207008086
1258,3177,220.869323881_64.4454175457,FUV,95031,864629428.995,864630691.995,3335182.0,95031.0,1246.94000006,0.015089614297
1259,3269,297.76896084_74.7171390696,FUV,8433,841916281.995,841916394.995,488722.0,8433.0,112.0,0.0247141340076
1260,3208,72.2618956926_71.5281105068,FUV,7510,842519986.995,842520087.995,471698.0,7510.0,100.0,0.0266872984441
1261,3255,67.5251613422_85.2829461133,FUV,127175,912608404.995,912610098.995,5222571.0,127175.0,1366.76000023,0.0176170382864
1262,3382,277.561928864_77.4386503249,FUV,18132,855754733.995,855754976.995,995773.0,18132.0,204.995000005,0.0234161787184
1263,3413,112.565216216_69.1491686586,FUV,93304,793238027.995,793239267.995,3427563.0,93304.0,1231.99000001,0.0157952211982
1264,3300,328.946264943_74.873076259,FUV,17570,846650178.995,846650415.995,1197078.0,17570.0,192.99000001,0.0288626401447
1265,3265,322.676120449_88.9220282502,FUV,7801,886200447.995,886200551.995,315649.0,7801.0,76.9850000143,0.0173433516484
1266,3187,215.868963033_70.3275407165,FUV,8156,763211814.995,763211922.995,226863.0,8156.0,107.0,0.0120033333333
1267,3279,137.97484445_85.4129134115,FUV,20863,851076052.995,851076330.995,861635.0,20863.0,213.980000019,0.0177108941418
1268,3392,217.876642244_81.5851412147,FUV,8870,754351840.995,754351958.995,309908.0,8870.0,117.0,0.0150076513317
1269,3310,193.322562063_85.6881922431,FUV,8114,851075196.995,851075304.995,316976.0,8114.0,96.9950000048,0.0167712169312
1270,3423,306.700477663_86.2137223135,FUV,7628,820195695.995,820195797.995,364702.0,7628.0,88.6119999886,0.0204314845938
1271,3275,177.437114435_59.6213726662,FUV,8178,855412699.995,855412807.995,175514.0,8178.0,101.995000005,0.00928645502646
1272,3289,109.028989698_74.3036280782,FUV,8271,793829747.995,793829857.995,317079.0,8271.0,110.0,0.0164716363636
1273,3320,248.023817363_89.1764278087,FUV,10083,886193677.995,886193812.995,487256.0,10083.0,34.9400001764,0.0206245925926
1274,3402,288.237476927_74.5276097241,FUV,7918,877177760.995,877177866.995,456847.0,7918.0,100.995000005,0.0246278706199
1275,3299,62.9627432335_87.2864678928,FUV,7730,851258451.995,851258554.995,311996.0,7730.0,93.9900000095,0.0173090707351
1276,3285,91.3999035394_68.0515796777,FUV,9444,758045795.995,758045921.995,507523.0,9444.0,125.0,0.0230169160998
1277,3330,268.796689964_84.3080125003,FUV,8383,820314161.995,820314273.995,429755.0,8383.0,112.0,0.0219262755102
1278,3309,193.322562063_85.6881922431,FUV,7668,846720605.995,846720707.995,316609.0,7668.0,101.0,0.0177371988796
1279,3433,316.69997166_64.2060821847,FUV,10814,842407553.995,842407701.995,1276663.0,10814.0,148.0,0.049292007722
1280,3218,240.162763932_55.7551373794,FUV,84317,899327408.995,899328529.995,3007472.0,84317.0,1121.0,0.0153305569007
1281,3197,303.657885383_74.811396911,FUV,8016,811569950.995,811570057.995,338658.0,8016.0,96.6690003872,0.0180858744993
1282,3228,121.228559532_89.0509873682,FUV,10515,851004014.995,851004154.995,403774.0,10515.0,78.9850000143,0.0164805714286
1283,3295,244.21571001_87.5993282453,FUV,12528,886194309.995,886194476.995,527814.0,12528.0,166.0,0.0180603592814
1284,3443,354.285555799_73.334192479,FUV,7823,846673410.995,846673516.995,683641.0,7823.0,105.0,0.0368539622642
1285,3305,196.723652653_56.0846158477,FUV,7633,890471362.995,890471463.995,165762.0,7633.0,88.3400000334,0.00937833097595
1286,3207,72.2618956926_71.5281105068,FUV,8658,819918208.995,819918324.995,492774.0,8658.0,115.0,0.0242745812808
1287,3238,166.168695946_85.2088922283,FUV,8116,851075767.995,851075875.995,349463.0,8116.0,107.0,0.0184901058201
1288,3453,230.390844879_81.3031567241,FUV,8299,851217749.995,851217859.995,263293.0,8299.0,109.0,0.0136775584416
1289,3319,232.228223671_64.6856368953,FUV,119370,860434556.995,860436139.995,3356148.0,119370.0,1576.09500003,0.0121149643534
1290,3315,141.416260199_82.6561348394,FUV,18537,846786105.995,846786351.995,556994.0,18537.0,203.99000001,0.0129383042973
1291,3463,103.335820616_72.4284347154,FUV,9529,758211482.995,758211609.995,440779.0,9529.0,126.0,0.019832575928
1292,3340,139.99442497_57.7059095807,FUV,128073,758890591.995,758892287.995,3205465.0,128073.0,1691.995,0.0108000842318
1293,3329,215.575520624_79.1271233675,FUV,8725,815954379.995,815954495.995,299057.0,8725.0,115.0,0.0147318719212
1294,3325,120.390981371_73.4090094679,FUV,9346,758294347.995,758294471.995,284966.0,9346.0,117.998999953,0.0131320737327
1295,3412,112.565216216_69.1491686586,FUV,127932,758281047.995,758282748.995,4734667.0,127932.0,1701.0,0.0159054908877
1296,3339,139.99442497_57.7059095807,FUV,8760,758488608.995,758488724.995,207223.0,8760.0,116.0,0.0102080295567
1297,3473,66.7041261727_77.4281314602,FUV,8716,819965685.995,819965802.995,485199.0,8716.0,116.0,0.0236971428571
1298,3350,275.30159004_58.1060957027,FUV,7892,841638557.995,841638663.995,442493.0,7892.0,105.0,0.0238540700809
1299,3422,181.081870218_61.2782899363,FUV,8169,855531169.995,855531277.995,177448.0,8169.0,108.0,0.00938878306878
1300,3483,238.279812421_68.296408739,FUV,8138,856004198.995,856004306.995,257401.0,8138.0,98.0,0.0136191005291
1301,3360,99.6503265362_70.5331592818,FUV,8444,854885058.995,854885171.995,425360.0,8444.0,108.980000019,0.0215099873578
1302,3335,60.2790687023_56.1647832077,FUV,7482,850756176.995,850756278.995,738630.0,7482.0,101.0,0.0413798319328
